Sex,Age,Height (Inches),Weight (Pounds),BMI
Female,21,65.78331,112.9925,2
Female,35,,136.4873,3
Female,27,69.39874,153.0269,3
Male,24,68.2166,142.3354,3
Female,18,67.78781,144.2971,3
Female,22,68.69784,123.3024,2
Male,35,69.80204,141.4947,
Male,19,70.01472,136.4623,3
Female,28,67.90265,112.3723,2
Male,25,,120.6672,3
Male,34,0,127.4516,
Female,28,67.62333,114.143,2
Male,21,68.30248,125.6107,3
Male,25,67.11656,122.4618,3
Female,27,68.27967,116.0866,2
Male,23,71.0916,139.9975,3
Male,20,66.461,129.5023,3
Female,31,-104.4205547,142.9733,3
Male,19,71.23033,137.9025,3
Female,32,67.13118,124.0449,3
Male,22,67.83379,141.2807,3
Female,32,68.87881,143.5392,3
Female,31,63.48115,97.90191,2
Female,35,68.42187,129.5027,3
Male,29,67.62804,141.8501,3
Male,24,67.20864,129.7244,3
Male,21,70.84235,142.4235,3
Male,25,67.49434,131.5502,3
Male,30,66.53401,108.3324,2
Female,31,65.44098,113.8922,3
Female,25,69.5233,103.3016,1
Female,25,65.8132,120.7536,3
Female,26,67.8163,125.7886,3
Male,21,,136.2225,3
Female,26,71.80484,140.1015,3
Female,27,69.20613,128.7487,3
Female,30,66.80368,141.7994,3
Female,21,67.65893,121.2319,3
Male,26,67.80701,131.3478,3
Female,23,64.04535,106.7115,2
Female,23,68.57463,124.3598,3
Female,31,592.6244266,124.8591,3
Male,18,69.65814,139.6711,3
Female,19,67.96731,137.3696,3
Male,28,65.98088,106.4499,2
Female,27,68.67249,128.7639,3
Male,18,66.88088,145.6837,3
Male,31,664.4877548,116.819,2
Male,21,69.82117,0,
Male,34,69.08817,134.9325,3
Female,34,69.91479,147.0219,3
Male,28,67.33182,126.3285,3
Male,29,70.26939,125.4839,2
Female,30,69.10344,115.7084,2
Male,27,65.38356,123.4892,
Male,24,70.18447,147.8926,3
Female,28,70.40617,155.8987,3
Female,26,66.54376,128.0742,3
Female,18,66.36418,119.3701,3
Female,32,67.537,133.8148,3
Male,22,66.50418,128.7325,3
Male,21,68.99958,137.5453,3
Female,19,68.30355,129.7604,3
Female,24,67.01255,128.824,3
Male,22,70.80592,135.3165,3
Female,26,68.21951,109.6113,2
Male,28,69.05914,142.4684,3
Male,34,67.73103,132.749,3
Female,31,67.21568,103.5275,2
Female,26,0,124.7299,
Male,23,65.27033,129.3137,3
Female,35,70.84278,134.0175,3
Female,34,69.92442,140.3969,3
Male,22,64.28508,102.8351,2
Female,19,68.2452,128.5214,3
Female,32,66.35708,120.2991,3
Female,19,68.36275,138.6036,3
Male,34,65.4769,132.9574,3
Male,21,69.71947,115.6233,2
Male,19,67.72554,122.524,3
Male,34,68.63941,134.6254,3
Female,23,66.78405,121.8986,3
Male,31,70.05147,155.3767,3
Male,21,66.27848,128.9418,3
Female,22,69.20198,129.1013,3
Female,32,69.13481,139.4733,3
Female,24,67.36436,140.8901,3
Female,27,622.0486612,131.5916,3
Male,30,70.1766,121.1232,2
Male,27,68.22556,131.5127,3
Female,22,,136.5479,3
Female,20,70.24256,141.4896,3
Female,34,71.48752,140.6104,3
Female,33,69.20477,112.1413,2
Female,26,70.06306,133.457,3
Male,32,70.55703,131.8001,3
Male,18,66.28644,120.0285,3
Female,34,63.42577,123.0972,3
Female,23,66.76711,128.1432,3
Male,21,68.88741,115.4759,2
Female,19,64.87434,102.0927,2
Male,21,67.09272,130.353,3
Female,30,68.34761,134.1842,3
Female,21,65.61073,98.64133,2
Female,18,67.75551,-141.8241248,2
Male,31,68.0212,123.4917,3
Female,21,67.66193,123.048,3
Female,28,66.3146,126.4772,3
Female,27,69.43706,128.417,3
Male,30,63.83624,127.1941,3
Female,29,67.72277,122.0562,3
Male,34,665.4650594,127.6064,2
Female,32,70.18602,131.6423,3
Female,24,65.94588,111.8955,2
Male,31,70.007,122.039,2
Female,19,68.61129,128.5547,3
Male,23,-130.9261617,132.6792,3
Female,33,69.76212,136.0632,3
Male,34,65.45539,115.9403,3
Female,28,68.82534,136.9041,3
Female,34,65.8003,119.8804,3
Female,23,67.21474,109.0055,2
Male,18,69.42021,128.2705,3
Female,31,68.94396,135.2913,3
Male,30,67.9415,106.8558,2
Female,31,65.62506,123.2939,3
Female,23,66.49607,109.5143,2
Male,29,67.92809,119.3087,2
Male,21,68.89415,140.2402,3
Female,33,70.241,-161.9949135,3
Female,28,68.26623,132.5807,3
Female,35,71.23161,130.6988,2
Female,18,69.09747,115.5637,2
Female,24,64.39693,123.7941,3
Female,35,71.09585,128.1427,2
Male,22,68.21868,135.9646,3
Female,29,65.91721,116.6273,3
Female,34,67.4369,126.8241,3
Female,24,73.90107,151.3913,3
Male,35,69.98149,130.4022,3
Male,32,69.51862,136.2068,3
Male,25,65.18437,113.3989,3
Female,27,68.00869,125.3287,3
Female,29,68.3384,127.5846,3
Male,22,65.18417,107.1564,2
Female,20,68.26209,116.4588,2
Female,28,68.56865,133.8402,3
Female,30,64.49675,1110.621115,3
Male,19,68.71053,130.7568,3
Male,25,68.89148,137.7571,3
